"Unable to remove attribute with ID %1. Error: %2","Unable to remove attribute with ID %1. Error: %2"
"Unable to remove attribute. Error: %1","Unable to remove attribute. Error: %1"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Could not save Attribute","Could not save Attribute"
"""%1"" field invalid type entered.","""%1"" field invalid type entered."
"""%1"" field contains non-decimal characters.","""%1"" field contains non-decimal characters."
"Attribute with id ""%value"" does not exist.","Attribute with id ""%value"" does not exist."
"Could not save Quote Entity","Could not save Quote Entity"
"Quote Entity with id ""%value"" does not exist.","Quote Entity with id ""%value"" does not exist."
"Quote Entity with quote id ""%value"" does not exist.","Quote Entity with quote id ""%value"" does not exist."
"Quote Attributes","Quote Attributes"
"Additional Information","Additional Information"
